person_id,name,birthdate,biography
1,Bong Joon-ho,1969-09-14,"South Korean film director and writer born in Seoul. Best known for Parasite (2019), which won the Academy Award for Best Picture. In this dataset, Bong Joon-ho appears as a director and writer."
2,Song Kang-ho,1967-01-17,"South Korean actor born in Gimhae, South Gyeongsang Province. Regarded as one of the most influential actors in Korean cinema, he won Best Actor at the 75th Cannes Film Festival for Broker (2022). In this dataset, Song Kang-ho appears as an actor."
3,Lee Sun-kyun,1975-03-02,"South Korean actor born in Seoul, known for his calm and refined screen presence. He gained international recognition for his role in Parasite (2019). In this dataset, Lee Sun-kyun appears as an actor."
4,Cho Yeo-jeong,1981-02-10,"South Korean actress born in Daegu. She is widely recognized for her role as the wealthy housewife in Parasite (2019). In this dataset, Cho Yeo-jeong appears as an actor."
5,Han Jin-won,1983-06-15,"South Korean screenwriter who co-wrote Parasite (2019) alongside director Bong Joon-ho, earning an Academy Award for Best Original Screenplay. In this dataset, Han Jin-won appears as a writer."
6,Kwak Sin-ae,1972-04-22,"South Korean film producer and co-founder of Barunson E&A. She produced Parasite (2019) and has been a prominent force in Korean independent cinema. In this dataset, Kwak Sin-ae appears as a producer."
7,Moon Yang-kwon,1968-09-05,"South Korean film producer known for his work on Parasite (2019). He has contributed to several acclaimed Korean film productions. In this dataset, Moon Yang-kwon appears as a producer."
8,Christopher Nolan,1970-07-30,"British-American film director, writer, and producer born in London. Known for visually inventive and narratively complex films including Memento, The Dark Knight trilogy, Inception, and Oppenheimer. In this dataset, Christopher Nolan appears as a director, writer, and producer."
9,Christian Bale,1974-01-30,"Welsh-born actor raised in England and the United States. Known for his intense method performances and physical transformations, with roles in American Psycho, The Machinist, and The Dark Knight trilogy. In this dataset, Christian Bale appears as an actor."
10,Heath Ledger,1979-04-04,"Australian actor born in Perth, Western Australia. He delivered one of cinema's most iconic performances as the Joker in The Dark Knight (2008), for which he received a posthumous Academy Award for Best Supporting Actor. In this dataset, Heath Ledger appears as an actor."
11,Jonathan Nolan,1976-06-06,"British-American screenwriter and producer born in London. He has collaborated closely with his brother Christopher Nolan on scripts for The Dark Knight and Interstellar. In this dataset, Jonathan Nolan appears as a writer."
12,Emma Thomas,1971-12-04,"British film producer and co-founder of Syncopy Inc. alongside Christopher Nolan. She has produced all of Nolan's major studio films including The Dark Knight and Interstellar. In this dataset, Emma Thomas appears as a producer."
13,Charles Roven,1949-08-02,"American film producer born in New York City. Known for producing large-scale Hollywood productions including the Batman film series and various DC Extended Universe titles. In this dataset, Charles Roven appears as a producer."
14,Haruo Sotozaki,1974-02-01,"Japanese anime director born in Muroran, Hokkaido. A 30-year veteran of the animation industry, he is best known for directing the Demon Slayer: Kimetsu no Yaiba series and the Infinity Castle film. In this dataset, Haruo Sotozaki appears as a director."
15,Natsuki Hanae,1991-06-26,"Japanese voice actor born in Fujisawa, Kanagawa Prefecture. Known for voicing Tanjiro Kamado in Demon Slayer and Ken Kaneki in Tokyo Ghoul. Winner of the Seiyu Award for Best Lead Actor. In this dataset, Natsuki Hanae appears as an actor."
16,Saori Hayami,1991-05-29,"Japanese voice actress and singer born in Tokyo. She won the 10th Seiyu Awards for Best Supporting Actress and is known for her work across numerous anime series. In this dataset, Saori Hayami appears as an actor."
17,Hikaru Kondo,1978-03-14,"Japanese animation producer and writer who has contributed to several ufotable productions. He worked on the Demon Slayer: Infinity Castle project as a writer. In this dataset, Hikaru Kondo appears as a writer."
18,Koyoharu Gotouge,1989-05-05,"Japanese manga artist and writer, creator of the Demon Slayer: Kimetsu no Yaiba series. Her work was adapted into an acclaimed anime and film franchise. In this dataset, Koyoharu Gotouge appears as a writer."
19,Yuma Takahashi,1980-11-20,"Japanese film and animation producer at Aniplex. He has overseen major productions in the Demon Slayer franchise, including the Infinity Castle film. In this dataset, Yuma Takahashi appears as a producer."
20,Hayao Miyazaki,1941-01-05,"Japanese animator, filmmaker, and manga artist born in Tokyo. Co-founder of Studio Ghibli and widely regarded as one of the greatest animators in history, known for Spirited Away, Princess Mononoke, and Ponyo. In this dataset, Hayao Miyazaki appears as a director and writer."
21,Yuria Nara,1996-07-23,"Japanese child actress who voiced the lead character Ponyo in Hayao Miyazaki's animated film Ponyo (2008). In this dataset, Yuria Nara appears as an actor."
22,Hiroki Doi,1997-01-14,"Japanese child actor who voiced Sosuke in Hayao Miyazaki's animated film Ponyo (2008). In this dataset, Hiroki Doi appears as an actor."
23,Toshio Suzuki,1948-08-19,"Japanese film producer and co-founder of Studio Ghibli. He has produced nearly every Studio Ghibli film alongside Hayao Miyazaki and served as president of the studio. In this dataset, Toshio Suzuki appears as a producer."
24,Matthew McConaughey,1969-11-04,"American actor born in Uvalde, Texas. Known for his Southern charm and versatility, with acclaimed roles in Dazed and Confused, Dallas Buyers Club (Academy Award for Best Actor), and Interstellar. In this dataset, Matthew McConaughey appears as an actor."
25,Anne Hathaway,1982-11-12,"American actress born in Brooklyn, New York City. She won the Academy Award for Best Supporting Actress for Les Misérables (2012) and has starred in films ranging from The Princess Diaries to The Dark Knight Rises. In this dataset, Anne Hathaway appears as an actor."
26,Jessica Chastain,1977-03-24,"American actress born in Sacramento, California. Known for her powerful performances in Zero Dark Thirty, Interstellar, and The Eyes of Tammy Faye (Academy Award for Best Actress). In this dataset, Jessica Chastain appears as an actor."
27,Lynda Obst,1950-04-14,"American film producer born in New York City. A veteran Hollywood producer, she worked on films including Sleepless in Seattle and Interstellar, and has authored books on the film industry. In this dataset, Lynda Obst appears as a producer."
28,Daniel Kwan,1988-02-09,"American film director, writer, and producer of Chinese descent, known professionally as one half of the Daniels duo. He co-directed Everything Everywhere All at Once (2022), which won seven Academy Awards including Best Picture. In this dataset, Daniel Kwan appears as a director, writer, and producer."
29,Daniel Scheinert,1987-06-03,"American film director, writer, and producer, known as the other half of the Daniels duo. He co-directed Everything Everywhere All at Once (2022) and Swiss Army Man (2016). In this dataset, Daniel Scheinert appears as a director, writer, and producer."
30,Michelle Yeoh,1962-08-06,"Malaysian actress born in Ipoh, Perak. A global action star and accomplished dramatic actress, she became the first Asian performer to win the Academy Award for Best Actress for Everything Everywhere All at Once (2022). In this dataset, Michelle Yeoh appears as an actor."
